,wavenumber (cm^-1),Unblocked Integrated OD
642,17323.525586887026,0.001066
643,17323.525649253505,0.000806
644,17323.52569090232,0.001357
645,17323.525818293783,0.00101
646,17323.526102974058,-0.000808
647,17323.52630158813,0.001871
648,17323.526382173877,0.001568
649,17323.526474224225,-0.000379
650,17323.526474224225,0.000786
651,17323.52653169732,0.000813
652,17323.526606595802,0.001252
653,17323.526713629846,-0.001347
654,17323.526713629846,0.00077
655,17323.526713629846,0.001115
656,17323.526957258393,-1.7e-05
657,17323.526957258393,0.001789
658,17323.527411896248,-0.000135
659,17323.527509844007,-0.000377
660,17323.5277265139,-0.000293
661,17323.52800252151,0.000261
662,17323.52803477716,0.000677
663,17323.52807249659,0.000219
664,17323.52807249659,0.000616
665,17323.528096923485,0.000309
666,17323.52821141936,-0.000322
667,17323.528494204995,0.000176
668,17323.52858960766,-0.000173
669,17323.52858960766,0.000332
670,17323.52866115716,-0.000278
671,17323.528777480966,0.000438
672,17323.528965247533,0.000671
673,17323.529010845745,0.000382
674,17323.529123693814,0.00099
675,17323.52915090597,0.000316
676,17323.529173715084,-0.000366
677,17323.529197444834,-0.000163
678,17323.529211731384,0.000692
679,17323.52970838831,0.000214
680,17323.52974802573,0.001903
681,17323.529754963864,0.000962
682,17323.529869009428,-0.000812
683,17323.529869009428,0.001462
684,17323.5300742781,0.000177
685,17323.5300742781,0.000555
686,17323.53025635406,-0.000283
687,17323.530585001423,0.000132
688,17323.530585001423,0.000518
689,17323.530671147684,0.000784
690,17323.530690057432,0.001174
691,17323.530690057432,0.001427
692,17323.5310616912,0.000534
693,17323.53131076351,-0.000572
694,17323.53131076351,-5.7e-05
695,17323.531324629766,0.000984
696,17323.53139288032,-9.5e-05
697,17323.531420392683,0.000669
698,17323.531529468142,0.000505
699,17323.53181332118,0.000565
700,17323.531828421626,0.001673
701,17323.53187450017,0.000316
702,17323.531891785464,-0.000295
703,17323.531891785464,0.001777
704,17323.532025147724,0.001773
705,17323.53215184871,-0.000425
706,17323.532234532577,0.001247
707,17323.532333374293,-0.001946
708,17323.53241240563,0.001104
709,17323.532726432877,0.001612
710,17323.532747800993,0.001155
711,17323.532758128138,0.000383
712,17323.532758128138,0.000619
713,17323.53288376172,0.001275
714,17323.533011900367,0.001745
715,17323.533377266464,0.000548
716,17323.533443282133,0.000864
717,17323.533832564775,0.002786
718,17323.53385713177,0.001274
719,17323.533877022197,0.000793
720,17323.53387916368,0.000898
721,17323.533934371873,0.002336
722,17323.53408498607,0.002259
723,17323.534086547148,0.001675
724,17323.53419335437,0.002439
725,17323.53447865174,0.003074
726,17323.534535437695,0.004373
727,17323.534651604725,0.002264
728,17323.53465477692,0.00649
729,17323.534689574324,0.006511
730,17323.534742981272,0.003058
731,17323.534937829405,0.005157
732,17323.534954150695,0.008624
733,17323.53513506919,0.009063
734,17323.53513506919,0.009383
735,17323.535356819262,0.010319
736,17323.535473416592,0.009444
737,17323.535475201163,0.006367
738,17323.53562561522,0.010284
739,17323.53565116623,0.009294
740,17323.535846814913,0.021036
741,17323.535846814913,0.021713
742,17323.53613003418,0.020933
743,17323.536149320855,0.024464
744,17323.536324068413,0.03149
745,17323.53638775914,0.020547
746,17323.53645900176,0.02927
747,17323.5365355714,0.029216
748,17323.5365355714,0.031368
749,17323.536763335633,0.034413
750,17323.536763335633,0.039957
751,17323.536831265963,0.035383
752,17323.53700923575,0.038705
753,17323.537287825147,0.038689
754,17323.537348046808,0.038097
755,17323.53740586681,0.038681
756,17323.53760996467,0.036117
757,17323.537675903623,0.038578
758,17323.537957104825,0.036682
759,17323.538086571058,0.035285
760,17323.538164665082,0.036792
761,17323.538189578987,0.024048
762,17323.53823656149,0.028924
763,17323.53827912093,0.021134
764,17323.53827912093,0.022197
765,17323.538299448326,0.034627
766,17323.53831691708,0.024182
767,17323.538423827707,0.028103
768,17323.538517195633,0.017085
769,17323.53852208235,0.025543
770,17323.53878549124,0.017513
771,17323.538982554237,0.018827
772,17323.538995903473,0.015163
773,17323.53941612085,0.012357
774,17323.53941612085,0.013872
775,17323.539436484938,0.01463
776,17323.539436484938,0.016409
777,17323.539451351888,0.012929
778,17323.539514949218,0.015594
779,17323.539514949218,0.016675
780,17323.5396126835,0.014943
781,17323.54000220297,0.01915
782,17323.540027086852,0.015373
783,17323.540256268734,0.021467
784,17323.540431373207,0.01797
785,17323.540431373207,0.018602
786,17323.540440899797,0.020924
787,17323.54049268229,0.023899
788,17323.54049268229,0.025195
789,17323.540732191315,0.025875
790,17323.5409353085,0.030116
791,17323.541046351987,0.031679
792,17323.54114414297,0.027813
793,17323.54114414297,0.031029
794,17323.541181922443,0.027263
795,17323.54143895359,0.03551
796,17323.541441628775,0.035759
797,17323.541530280105,0.041021
798,17323.541590044784,0.03765
799,17323.54172363387,0.038573
800,17323.54186284017,0.041583
801,17323.542138907826,0.044703
802,17323.54235413005,0.04585
803,17323.54235413005,0.045944
804,17323.542452037782,0.046492
805,17323.542528173788,0.056965
806,17323.542606754818,0.052314
807,17323.542606754818,0.055318
808,17323.542671342835,0.050585
809,17323.542829879178,0.049032
810,17323.543093401484,0.056618
811,17323.54309392518,0.058012
812,17323.54309392518,0.060932
813,17323.543222881057,0.065304
814,17323.543344088244,0.062267
815,17323.543344088244,0.064396
816,17323.54347401813,0.064601
817,17323.543586272455,0.069317
818,17323.54370802335,0.068801
819,17323.54376913229,0.065687
820,17323.543772971614,0.064329
821,17323.543864921892,0.070215
822,17323.544142847495,0.064124
823,17323.544166273703,0.066706
824,17323.544216408387,0.060615
825,17323.544216408387,0.066631
826,17323.54435882691,0.064753
827,17323.544457495173,0.062039
828,17323.544615190935,0.058085
829,17323.544697728033,0.061948
830,17323.544955699832,0.064817
831,17323.544997065117,0.053771
832,17323.54515272947,0.058126
833,17323.5451754185,0.050108
834,17323.545230233092,0.053847
835,17323.545282255745,0.047697
836,17323.54539692841,0.044232
837,17323.545424153912,0.050866
838,17323.54583572531,0.043266
839,17323.545891487218,0.039665
840,17323.545914493134,0.040294
841,17323.546117193364,0.04123
842,17323.546298488785,0.03788
843,17323.54632639142,0.031007
844,17323.54633582795,0.029803
845,17323.54633582795,0.037077
846,17323.54647646858,0.024075
847,17323.546610904916,0.031966
848,17323.546639468008,0.029055
849,17323.546742309154,0.02526
850,17323.546830033178,0.028741
851,17323.54688893059,0.026669
852,17323.547158550446,0.024704
853,17323.54732451526,0.022562
854,17323.54732451526,0.023375
855,17323.547484489267,0.021792
856,17323.54758590943,0.023649
857,17323.547586132918,0.022708
858,17323.547586132918,0.024039
859,17323.547800924847,0.025479
860,17323.547807796265,0.021714
861,17323.54783062873,0.02197
862,17323.547889589518,0.021933
863,17323.548224214348,0.028078
864,17323.54844709854,0.028871
865,17323.54844709854,0.034033
866,17323.548451591647,0.029053
867,17323.548532524303,0.029914
868,17323.54868204441,0.035162
869,17323.548695687183,0.032665
870,17323.54900018784,0.035554
871,17323.549041342976,0.03601
872,17323.549041342976,0.038996
873,17323.549076400563,0.039135
874,17323.549289818206,0.042031
875,17323.549450682825,0.040936
876,17323.54945726738,0.039189
877,17323.54945726738,0.043479
878,17323.549462611078,0.035367
879,17323.54979242258,0.04318
880,17323.549814411122,0.039259
881,17323.54981560528,0.042298
882,17323.54981560528,0.04381
883,17323.550144559522,0.038766
884,17323.550304310036,0.037858
885,17323.550304310036,0.042821
886,17323.55039539972,0.036892
887,17323.550409406078,0.040645
888,17323.550621219278,0.034695
889,17323.550695453967,0.03579
890,17323.550725781613,0.034194
891,17323.55088606917,0.036687
892,17323.55108224155,0.031807
893,17323.551127662973,0.009682
894,17323.55117440197,0.031584
895,17323.55148664465,0.025229
896,17323.551522449423,0.028046
897,17323.551522449423,0.031592
898,17323.551702700788,0.027766
899,17323.551875326877,0.024484
900,17323.55192136873,0.020909
901,17323.551995553385,0.018852
902,17323.55211035614,0.018072
903,17323.55211035614,0.018873
904,17323.552202072922,0.016669
905,17323.552505329382,0.01555
906,17323.552525560048,0.018431
907,17323.552682805497,0.016327
908,17323.552797691642,0.016757
909,17323.55281973356,0.014351
910,17323.55281973356,0.017185
911,17323.552974313832,0.01503
912,17323.553172067306,0.016433
913,17323.553172067306,0.017072
914,17323.55326628582,0.016713
915,17323.553375991713,0.018402
916,17323.553375991713,0.018577
917,17323.553527730022,0.019531
918,17323.553683464426,0.018025
919,17323.5537736735,0.019043
920,17323.5537736735,0.024399
921,17323.553874853496,0.020301
922,17323.55404033131,0.026795
923,17323.55404033131,0.026861
924,17323.554057429803,0.029436
